0 הִסְתַּרְת הִסְתַּרְת הִסְתַּרְת properName unspecified unspecified unspecified unspecified unspecified  	I_PERS	null
1 ּ ּ ּ punctuation unspecified unspecified unspecified unspecified unspecified  	O	null
2 ָ ָ ָ punctuation unspecified unspecified unspecified unspecified unspecified  	O	null

0 פָּנֶיך פָּנֶיך פָּנֶיך adjective masculine singular construct unspecified unspecified  	O	null
1 ָ ָ ָ punctuation unspecified unspecified unspecified unspecified unspecified  	O	null

0 הָיִיתִי הָיִיתִי הָיִיתִי verb masculine singular unspecified 2 future  	O	null

0 נִבְהָל נִבְהָל נִבְהָל verb masculine-and-feminine plural unspecified 1 future  	O	null

0 שְׁמַע שְׁמַע שְׁמַע adjective masculine singular construct unspecified unspecified  	O	null

0 ד ד ד properName unspecified unspecified unspecified unspecified unspecified  	O	null

0 וְחָנֵּנִי וְחָנֵּנִי וְחָנֵּנִי verb feminine singular unspecified 2 imperative  	O	null

0 ד ד ד properName unspecified unspecified unspecified unspecified unspecified  	O	null

0 אֱלֹקָי אֱלֹקָי אֱלֹקָי preposition unspecified unspecified unspecified unspecified unspecified  	O	null

0 שִׁוַעְתִּי שִׁוַעְתִּי שִׁוַעְתִּי verb feminine singular unspecified 2 imperative  	O	null

0 אֵלֶיך אֵלֶיך אֵלֶיך verb feminine singular unspecified 2 imperative  	O	null
1 ָ ָ ָ punctuation unspecified unspecified unspecified unspecified unspecified  	O	null

0 אֵלֶיך אֵלֶיך אֵלֶיך verb feminine singular unspecified 2 imperative  	O	null
1 ָ ָ ָ punctuation unspecified unspecified unspecified unspecified unspecified  	O	null

0 וַתִּרְפָּאֵנִי וַתִּרְפָּאֵנִי וַתִּרְפָּאֵנִי adjective masculine singular construct unspecified unspecified  	O	null

