0 אז אז אז conjunction unspecified unspecified unspecified unspecified unspecified  	O	null

0 טה טה טה properName unspecified unspecified unspecified unspecified unspecified  	I_ORG	null
1 - - - properName unspecified unspecified unspecified unspecified unspecified  	I_ORG	null
2 נה נה נה properName unspecified unspecified unspecified unspecified unspecified  	I_ORG	null
3 - - - properName unspecified unspecified unspecified unspecified unspecified  	I_ORG	null
4 נה נה נה properName unspecified unspecified unspecified unspecified unspecified  	I_ORG	null
5 - - - properName unspecified unspecified unspecified unspecified unspecified  	I_ORG	null
6 נה נה נה properName unspecified unspecified unspecified unspecified unspecified  	I_ORG	null
7 - - - punctuation unspecified unspecified unspecified unspecified unspecified  	I_ORG	null
8 נה נה נה properName unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

