0 ה ה הקיץ definiteArticle unspecified unspecified unspecified unspecified unspecified 0 
0 הקיץ קיץ הקיץ noun masculine singular absolute unspecified unspecified  	I_DATE	null

0 הולך הלך הולך verb masculine singular unspecified any beinoni  	O	null

0 לו לו לו conjunction unspecified unspecified unspecified unspecified unspecified  	O	null

0 מחר מחר מחר adverb unspecified unspecified unspecified unspecified unspecified  	O	null

0 מחרתיים מחרתיים מחרתיים adverb unspecified unspecified unspecified unspecified unspecified  	O	null

0 מוכרח מוכרח מוכרח modal masculine singular unspecified any unspecified  	O	null

0 לוותר ויתר לוותר verb unspecified unspecified unspecified unspecified infinitive  	O	null

0 - - - punctuation unspecified unspecified unspecified unspecified unspecified  	O	null

0 בינתיים בינתיים בינתיים adverb unspecified unspecified unspecified unspecified unspecified  	O	null

