0 … … … punctuation unspecified unspecified unspecified unspecified unspecified  	O	null
1 I I I foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 never never never foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 knew knew knew foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 I I I foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 could could could foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 smile smile smile foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 just just just foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 like like like foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 you you you foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Then Then Then foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 hand hand hand foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 me me me foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 lovely lovely lovely foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 lies lies lies foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 ten ten ten foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 thousand thousand thousand foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 joys joys joys foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 will will will foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 rise rise rise foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 it it it foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 s s s foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 God God God foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 s s s foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 worst worst worst foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 love love love foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Be Be Be foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 my my my foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 pretty pretty pretty foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 blue blue blue foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Cover Cover Cover foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 me me me foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 with with with foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 all all all foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 of of of foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 you you you foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Put Put Put foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 on on on foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 your your your foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 pretty pretty pretty foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 face face face foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 fix fix fix foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 me me me foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 I I I foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 m m m foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 a a a foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 mess mess mess foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Save Save Save foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 me me me foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 And And And foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 it it it foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 s s s foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 driving driving driving foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 me me me foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 insane insane insane foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 this this this foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 old old old foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 urge urge urge foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 to to to foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 see see see foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 your your your foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 face face face foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Aching Aching Aching foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 through through through foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 my my my foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 loving loving loving foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 blood blood blood foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 again again again foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 You You You foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 are are are foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 so so so foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 beautiful beautiful beautiful foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 addictive addictive addictive foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 beautiful beautiful beautiful foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 My My My foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 sweet sweet sweet foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 high high high foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 I…I I…I I…I foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 never never never foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 knew knew knew foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 I I I foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 ll ll ll foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 die die die foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 each each each foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 night night night foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 for for for foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 your your your foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 divine divine divine foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 shine shine shine foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 to to to foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 be be be foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 bright bright bright foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Light Light Light foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 up up up foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 my my my foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 face face face foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 again again again foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Ring Ring Ring foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 them them them foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 old old old foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 bells bells bells foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 again again again foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 Make Make Make foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 it it it foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 right right right foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 We We We foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 we we we foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 know know know foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 you you you foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 well well well foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 that that that foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 sweet sweet sweet foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 smile smile smile foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 can can can foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 turn turn turn foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 to to to foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 hell hell hell foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 And And And foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 now now now foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 your your your foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 dance dance dance foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 is is is foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 done done done foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 You You You foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 had had had foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 your your your foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 little little little foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 fun fun fun foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 But But But foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 no no no foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 one one one foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

0 leaves leaves leaves foreign unspecified unspecified unspecified unspecified unspecified  	I_ORG	null

